194366359,RopQonBovXJP,66,-7.539175550101334,1027-11-30 05:14:43 -06:30,216,UJiBtmGsPFcBmoPLvvlGCGyYDkMnRFNzGAWmpfmpxLxSmASvWddaJQQjqethpnzcamrnQLmzXgxLCJjpUXpdCPyoMQKjg,76,AIR,jwaqDpAYePaD,1969-06-30 13:45:08,WHITE,ORANGE,ITALY,-325,362,-465
1146432819,t,-282,261.65838725501374,1812-09-30 23:45:12 -11:30,164,ARkgDRWiIkmRozWBWTUnwQkawSyowcWozsbHujIguRpSXDKhbrQCBDqqGREasUqmjyvtUEiTiumTFHOdquJuqlGlbnEzQd,45,UNDERGROUND,OpuzZzFGPP,1992-06-30 00:09:57,BLACK,GREEN,ITALY,85,129,-288
431461262,NhtaYhqAfTUN,-69,-493.84795503132995,0967-10-31 02:29:12 +04:30,282,uhpsopIGaVNxIXwvszTEPpParFMLKpbIdBqUxlMTjmlnFWrBcmrEhaCEehwRxGJaHEpBtoFg,11,UNDERGROUND,gTvgMDdCIE,1922-10-31 02:02:47,RED,WHITE,ITALY,403,7,200
1376330533,Iif,223,322.97052332865997,2015-05-31 02:36:31 +10:30,182,sFYjcfjvPdNxflERRZlvQySdYrnN,67,AIR,YdLfCOaHrUVxpBmxib,1956-12-31 00:48:49,WHITE,RED,VATICAN,53,-24,399
1668724559,tb,-20,280.6351127818551,1052-12-31 22:26:33 +10:00,8,bMADnpOeOpaNJSFgYTnhetPwZYnuaFb,45,AIR,BjOnRkbJfNn,1971-02-28 11:06:09,BLACK,WHITE,VATICAN,304,174,143
619528438,Jeb,-70,217.68177760010212,0491-02-28 19:27:02 -11:30,199,YiSbZkbSvCkfBMuOuNUWzMMdJCAWnqTbTKTeJYuzhXSAQYamvzhzXzwjrj,54,WATER,vFFpsnNODc,1906-06-30 07:44:45,ORANGE,GREEN,INDIA,-471,450,-246
2048068483,rKmSUABA,-248,-336.42960075917847,1655-05-31 13:14:23 -08:30,9,IIqRoNDyMOsh,34,UNDERGROUND,a,1977-10-31 10:35:56,BLACK,WHITE,INDIA,-328,-473,427
610467471,ajUVbOcgfcYO,158,30.123541306185302,1133-12-31 11:33:21 +01:00,280,HGwUuNrjpABXXWHjQcMWRXGny,16,UNDERGROUND,pJNrXlYrNfEbKMX,1980-12-31 19:17:19,GREEN,BLACK,ITALY,28,-1,-457
592922402,Z,12,479.3072908053638,1169-11-30 19:53:05 -12:30,43,hnFLBhigYfuTLOVqmDgZnwxjgqNORPrCpGQzZdZVXeQxgKqgAVkmXDYXKacyzXcsZtWRqDgOClmFiSNTdIRCHweBGynZrITMFWqg,86,AIR,gEDuda,2013-11-30 19:10:57,BLACK,ORANGE,ITALY,241,63,429
1813285285,VbenpIsdVOMioBbxlfNq,-248,-339.20110917558463,0278-11-30 13:40:25 -05:00,81,,48,UNDERGROUND,GcP,1910-08-31 18:04:54,WHITE,ORANGE,INDIA,140,-378,24
